Combination,Novel Metabolites Count,Novel Metabolites,Best Vaccine Score,Best Recommendation
ecoli + yeast,10,"acetate, ADP, glycerol, polysaccharide_lps, CO2, ethanol, ATP, mannan_polysaccharide, NADH, lactate",73.5,high
ecoli + bacillus,1,polysaccharide_lps,73.5,high
ecoli + salmonella,1,polysaccharide_lps,73.5,high
ecoli + lactobacillus,6,"glycerol, polysaccharide_lps, CO2, ethanol, ATP, mannan_polysaccharide",73.5,high
yeast + bacillus,10,"acetate, ADP, polysaccharide_lps, CO2, ethanol, ATP, mannan_polysaccharide, lipoteichoic_acid, NADH, lactate",73.5,high
yeast + salmonella,10,"acetate, ADP, glycerol, polysaccharide_lps, CO2, ethanol, ATP, mannan_polysaccharide, NADH, lactate",73.5,high
bacillus + salmonella,1,polysaccharide_lps,73.5,high
bacillus + lactobacillus,6,"polysaccharide_lps, CO2, ethanol, ATP, lipoteichoic_acid, mannan_polysaccharide",73.5,high
salmonella + lactobacillus,6,"glycerol, polysaccharide_lps, CO2, ethanol, ATP, mannan_polysaccharide",73.5,high
yeast + lactobacillus,5,"glycerol, CO2, ethanol, ATP, mannan_polysaccharide",70.5,high
