vmax,threshold,ratio,final_detox_mM,peak_detox_mM
5.0,0.0,1:1,0.0,0.0
5.0,0.0,1:20,0.0,0.0
5.0,0.005,1:1,0.0,0.0
5.0,0.005,1:20,0.0,0.0
5.0,0.01,1:1,0.0,0.0
5.0,0.01,1:20,0.0,0.0
5.0,0.05,1:1,0.0,0.0
5.0,0.05,1:20,0.0,0.0
15.0,0.0,1:1,0.0,0.0
15.0,0.0,1:20,0.0,0.0
15.0,0.005,1:1,0.0,0.0
15.0,0.005,1:20,0.0,0.0
15.0,0.01,1:1,0.0,0.0
15.0,0.01,1:20,0.0,0.0
15.0,0.05,1:1,0.0,0.0
15.0,0.05,1:20,0.0,0.0
50.0,0.0,1:1,0.0,0.0
50.0,0.0,1:20,0.0,0.0
50.0,0.005,1:1,0.0,0.0
50.0,0.005,1:20,0.0,0.0
50.0,0.01,1:1,0.0,0.0
50.0,0.01,1:20,0.0,0.0
50.0,0.05,1:1,0.0,0.0
50.0,0.05,1:20,0.0,0.0
150.0,0.0,1:1,0.0,0.0
150.0,0.0,1:20,0.0,0.0
150.0,0.005,1:1,0.0,0.0
150.0,0.005,1:20,0.0,0.0
150.0,0.01,1:1,0.0,0.0
150.0,0.01,1:20,0.0,0.0
150.0,0.05,1:1,0.0,0.0
150.0,0.05,1:20,0.0,0.0
