combination,molecule_id,score,final_concentration,rank_metric
salmonella + clostridium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + bordetella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + helicobacter,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + bacteroides,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + enterococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + staphylococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + mycobacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + vibrio,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + vibrio,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + helicobacter,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
salmonella + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + clostridium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + enterococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + staphylococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacteroides + mycobacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + vibrio,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + bordetella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + mycobacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + bacteroides,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + clostridium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + enterococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + staphylococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + mycobacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + bordetella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + vibrio,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + helicobacter,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
bacillus + salmonella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
