combination,molecule_id,score,final_concentration
ecoli + yeast,mannan_polysaccharide,70.5,0.1935200714906488
ecoli + yeast,NADH,48.0,0.4261119427854497
ecoli + yeast,acetate,48.0,0.4329444111034862
ecoli + yeast,ethanol,29.900000000000002,1.061648313446656
ecoli + yeast,glycerol,29.8,0.3145660616789693
ecoli + yeast,lactate,48.0,0.33272278078416995
ecoli + yeast,CO2,48.0,1.915016301237971
ecoli + yeast,ADP,48.0,0.3258903124661331
ecoli + yeast,polysaccharide_lps,73.5,0.25165284934317567
ecoli + yeast,ATP,29.5,0.5274776753251822
ecoli + flu_virus,polysaccharide_lps,73.5,1.8423267410990654
ecoli + bacillus,polysaccharide_lps,73.5,1.8423267410990654
ecoli + salmonella,polysaccharide_lps,73.5,1.8423267410990654
ecoli + lactobacillus,mannan_polysaccharide,70.5,0.39835426172950344
ecoli + lactobacillus,ethanol,29.900000000000002,0.7064324626784211
ecoli + lactobacillus,glycerol,29.8,0.21967798701550187
ecoli + lactobacillus,CO2,48.0,1.238879702494212
ecoli + lactobacillus,polysaccharide_lps,73.5,0.17574238961240132
ecoli + lactobacillus,ATP,29.5,0.5324472398157902
ecoli + bacteroides,polysaccharide_lps,73.5,1.8423267410990654
ecoli + bifidobacterium,mannan_polysaccharide,70.5,0.1321306418216088
ecoli + bifidobacterium,ethanol,29.900000000000002,0.7064324626784211
ecoli + bifidobacterium,glycerol,29.8,0.21967798701550187
ecoli + bifidobacterium,CO2,48.0,1.238879702494212
ecoli + bifidobacterium,polysaccharide_lps,73.5,0.17574238961240132
ecoli + bifidobacterium,ATP,29.5,0.5324472398157902
ecoli + clostridium,polysaccharide_lps,73.5,1.8423267410990654
ecoli + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
ecoli + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
ecoli + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
ecoli + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
ecoli + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
ecoli + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
ecoli + mycobacterium,polysaccharide_lps,73.5,1.8423267410990654
ecoli + bordetella,polysaccharide_lps,73.5,1.8423267410990654
ecoli + vibrio,polysaccharide_lps,73.5,1.8423267410990654
ecoli + helicobacter,polysaccharide_lps,73.5,1.8423267410990654
ecoli + legionella,polysaccharide_lps,73.5,1.8423267410990654
yeast + flu_virus,mannan_polysaccharide,70.5,0.24950844424627833
yeast + flu_virus,CO2,48.0,2.3757611104315712
yeast + flu_virus,ethanol,29.900000000000002,1.3448196068767502
yeast + flu_virus,ATP,29.5,1.0309415035548224
yeast + flu_virus,glycerol,29.8,0.41158835805142835
yeast + bacillus,polysaccharide_lps,73.5,0.2516528493431755
yeast + bacillus,acetate,48.0,0.4329444111034862
yeast + bacillus,lactate,48.0,0.33272278078416995
yeast + bacillus,NADH,48.0,0.4261119427854492
yeast + bacillus,ethanol,29.900000000000002,1.061648313446656
yeast + bacillus,CO2,48.0,1.915016301237971
yeast + bacillus,mannan_polysaccharide,70.5,0.1935200714906488
yeast + bacillus,ADP,48.0,0.3258903124661331
yeast + bacillus,ATP,29.5,0.19185629687457514
yeast + salmonella,polysaccharide_lps,73.5,0.2516528493431755
yeast + salmonella,acetate,48.0,0.4329444111034862
yeast + salmonella,lactate,48.0,0.33272278078416995
yeast + salmonella,NADH,48.0,0.4261119427854492
yeast + salmonella,ethanol,29.900000000000002,1.061648313446656
yeast + salmonella,CO2,48.0,1.915016301237971
yeast + salmonella,mannan_polysaccharide,70.5,0.1935200714906488
yeast + salmonella,ADP,48.0,0.3258903124661331
yeast + salmonella,ATP,29.5,0.5274776753251822
yeast + salmonella,glycerol,29.8,0.3145660616789693
yeast + lactobacillus,mannan_polysaccharide,70.5,0.39835426172950344
yeast + lactobacillus,CO2,48.0,1.238879702494212
