Combination,Novel Metabolites Count,Novel Metabolites
ecoli + yeast,11,"glycerol, NADH, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, acetate, ATP, alpha_ketoglutarate, ADP, lactate"
ecoli + flu_virus,1,polysaccharide_lps
ecoli + bacillus,1,polysaccharide_lps
ecoli + salmonella,1,polysaccharide_lps
ecoli + lactobacillus,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
ecoli + bacteroides,1,polysaccharide_lps
ecoli + bifidobacterium,7,"glycerol, exopolysaccharide, polysaccharide_lps, ethanol, CO2, mannan_polysaccharide, ATP"
ecoli + clostridium,1,polysaccharide_lps
ecoli + streptococcus,2,"capsular_polysaccharide, polysaccharide_lps"
ecoli + enterococcus,2,"bacterial_lipoprotein, polysaccharide_lps"
ecoli + staphylococcus,1,polysaccharide_lps
ecoli + pseudomonas,2,"polysaccharide_lps, alginate"
ecoli + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide"
ecoli + faecalibacterium,1,polysaccharide_lps
yeast + flu_virus,5,"glycerol, mannan_polysaccharide, ethanol, CO2, ATP"
yeast + bacillus,12,"glycerol, lipoteichoic_acid, NADH, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, acetate, alpha_ketoglutarate, flagellin, ADP, lactate"
yeast + salmonella,11,"glycerol, NADH, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, acetate, alpha_ketoglutarate, flagellin, ADP, lactate"
yeast + lactobacillus,6,"glycerol, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
yeast + bacteroides,11,"glycerol, NADH, outer_membrane_vesicle, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, ATP, alpha_ketoglutarate, ADP, lactate"
yeast + bifidobacterium,6,"glycerol, exopolysaccharide, mannan_polysaccharide, ethanol, CO2, ATP"
yeast + clostridium,12,"glycerol, NADH, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, acetate, ATP, butyrate, alpha_ketoglutarate, ADP, lactate"
yeast + streptococcus,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, capsular_polysaccharide, ATP"
yeast + enterococcus,12,"glycerol, NADH, ethanol, CO2, polysaccharide_lps, mannan_polysaccharide, acetate, ATP, bacterial_lipoprotein, alpha_ketoglutarate, ADP, lactate"
yeast + staphylococcus,11,"NADH, ethanol, polysaccharide_lps, CO2, mannan_polysaccharide, acetate, ATP, alpha_ketoglutarate, teichoic_acid, ADP, lactate"
yeast + pseudomonas,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, alginate"
yeast + klebsiella,7,"glycerol, capsule_polysaccharide, ethanol, polysaccharide_lps, CO2, mannan_polysaccharide, ATP"
yeast + faecalibacterium,11,"glycerol, NADH, polysaccharide_lps, ethanol, CO2, mannan_polysaccharide, ATP, butyrate, alpha_ketoglutarate, ADP, lactate"
flu_virus + bacillus,1,polysaccharide_lps
flu_virus + salmonella,1,polysaccharide_lps
flu_virus + lactobacillus,6,"glycerol, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
flu_virus + bacteroides,1,polysaccharide_lps
flu_virus + bifidobacterium,6,"glycerol, exopolysaccharide, mannan_polysaccharide, ethanol, CO2, ATP"
flu_virus + clostridium,1,polysaccharide_lps
flu_virus + streptococcus,2,"capsular_polysaccharide, polysaccharide_lps"
flu_virus + enterococcus,2,"bacterial_lipoprotein, polysaccharide_lps"
flu_virus + staphylococcus,1,polysaccharide_lps
flu_virus + pseudomonas,2,"polysaccharide_lps, alginate"
flu_virus + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide"
flu_virus + faecalibacterium,1,polysaccharide_lps
bacillus + salmonella,1,polysaccharide_lps
bacillus + lactobacillus,8,"lipoteichoic_acid, mannan_polysaccharide, ethanol, polysaccharide_lps, CO2, ATP, peptidoglycan, flagellin"
bacillus + bacteroides,1,polysaccharide_lps
bacillus + bifidobacterium,7,"lipoteichoic_acid, exopolysaccharide, ethanol, polysaccharide_lps, CO2, mannan_polysaccharide, flagellin"
bacillus + clostridium,1,polysaccharide_lps
bacillus + streptococcus,2,"capsular_polysaccharide, polysaccharide_lps"
bacillus + enterococcus,2,"bacterial_lipoprotein, polysaccharide_lps"
bacillus + staphylococcus,1,polysaccharide_lps
bacillus + pseudomonas,2,"polysaccharide_lps, alginate"
bacillus + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide"
bacillus + faecalibacterium,1,polysaccharide_lps
salmonella + lactobacillus,8,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan, flagellin"
salmonella + bacteroides,1,polysaccharide_lps
salmonella + bifidobacterium,8,"glycerol, exopolysaccharide, polysaccharide_lps, ethanol, CO2, mannan_polysaccharide, ATP, flagellin"
salmonella + clostridium,1,polysaccharide_lps
salmonella + streptococcus,2,"capsular_polysaccharide, polysaccharide_lps"
salmonella + enterococcus,2,"bacterial_lipoprotein, polysaccharide_lps"
salmonella + staphylococcus,1,polysaccharide_lps
salmonella + pseudomonas,2,"polysaccharide_lps, alginate"
salmonella + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide"
salmonella + faecalibacterium,1,polysaccharide_lps
lactobacillus + bacteroides,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
lactobacillus + bifidobacterium,7,"glycerol, exopolysaccharide, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
lactobacillus + clostridium,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
lactobacillus + streptococcus,8,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, capsular_polysaccharide, ATP, peptidoglycan"
lactobacillus + enterococcus,8,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, bacterial_lipoprotein, peptidoglycan"
lactobacillus + staphylococcus,7,"polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan, teichoic_acid"
lactobacillus + pseudomonas,8,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, alginate, peptidoglycan"
lactobacillus + klebsiella,8,"glycerol, capsule_polysaccharide, ethanol, polysaccharide_lps, CO2, mannan_polysaccharide, ATP, peptidoglycan"
lactobacillus + faecalibacterium,7,"glycerol, polysaccharide_lps, mannan_polysaccharide, ethanol, CO2, ATP, peptidoglycan"
bacteroides + bifidobacterium,7,"glycerol, exopolysaccharide, polysaccharide_lps, ethanol, CO2, mannan_polysaccharide, ATP"
bacteroides + clostridium,1,polysaccharide_lps
bacteroides + streptococcus,2,"capsular_polysaccharide, polysaccharide_lps"
bacteroides + enterococcus,2,"bacterial_lipoprotein, polysaccharide_lps"
bacteroides + staphylococcus,1,polysaccharide_lps
bacteroides + pseudomonas,2,"polysaccharide_lps, alginate"
bacteroides + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide"
bacteroides + faecalibacterium,1,polysaccharide_lps
