Combination,Novel Metabolites Count,Novel Metabolites
ecoli + yeast,0,
ecoli + flu_virus,0,
ecoli + bacillus,0,
ecoli + salmonella,0,
ecoli + lactobacillus,0,
ecoli + bacteroides,0,
ecoli + bifidobacterium,0,
ecoli + clostridium,0,
ecoli + streptococcus,0,
ecoli + enterococcus,0,
ecoli + staphylococcus,0,
ecoli + pseudomonas,0,
ecoli + klebsiella,0,
ecoli + faecalibacterium,0,
yeast + flu_virus,0,
yeast + bacillus,0,
yeast + salmonella,0,
yeast + lactobacillus,0,
yeast + bacteroides,0,
yeast + bifidobacterium,0,
yeast + clostridium,0,
yeast + streptococcus,0,
yeast + enterococcus,0,
yeast + staphylococcus,0,
yeast + pseudomonas,0,
yeast + klebsiella,0,
yeast + faecalibacterium,0,
flu_virus + bacillus,0,
flu_virus + salmonella,0,
flu_virus + lactobacillus,0,
flu_virus + bacteroides,0,
flu_virus + bifidobacterium,0,
flu_virus + clostridium,0,
flu_virus + streptococcus,0,
flu_virus + enterococcus,0,
flu_virus + staphylococcus,0,
flu_virus + pseudomonas,0,
flu_virus + klebsiella,0,
flu_virus + faecalibacterium,0,
bacillus + salmonella,0,
bacillus + lactobacillus,0,
bacillus + bacteroides,0,
bacillus + bifidobacterium,0,
bacillus + clostridium,0,
bacillus + streptococcus,0,
bacillus + enterococcus,0,
bacillus + staphylococcus,0,
bacillus + pseudomonas,0,
bacillus + klebsiella,0,
bacillus + faecalibacterium,0,
salmonella + lactobacillus,0,
salmonella + bacteroides,0,
salmonella + bifidobacterium,0,
salmonella + clostridium,0,
salmonella + streptococcus,0,
salmonella + enterococcus,0,
salmonella + staphylococcus,0,
salmonella + pseudomonas,0,
salmonella + klebsiella,0,
salmonella + faecalibacterium,0,
lactobacillus + bacteroides,0,
lactobacillus + bifidobacterium,0,
lactobacillus + clostridium,0,
lactobacillus + streptococcus,0,
lactobacillus + enterococcus,0,
lactobacillus + staphylococcus,0,
lactobacillus + pseudomonas,0,
lactobacillus + klebsiella,0,
lactobacillus + faecalibacterium,0,
bacteroides + bifidobacterium,0,
bacteroides + clostridium,0,
bacteroides + streptococcus,0,
bacteroides + enterococcus,0,
bacteroides + staphylococcus,0,
bacteroides + pseudomonas,0,
bacteroides + klebsiella,0,
bacteroides + faecalibacterium,0,
bifidobacterium + clostridium,0,
bifidobacterium + streptococcus,0,
bifidobacterium + enterococcus,0,
bifidobacterium + staphylococcus,0,
bifidobacterium + pseudomonas,0,
bifidobacterium + klebsiella,0,
bifidobacterium + faecalibacterium,0,
clostridium + streptococcus,0,
clostridium + enterococcus,0,
clostridium + staphylococcus,0,
clostridium + pseudomonas,0,
clostridium + klebsiella,0,
clostridium + faecalibacterium,0,
streptococcus + enterococcus,0,
streptococcus + staphylococcus,0,
streptococcus + pseudomonas,0,
streptococcus + klebsiella,0,
streptococcus + faecalibacterium,0,
enterococcus + staphylococcus,0,
enterococcus + pseudomonas,0,
enterococcus + klebsiella,0,
enterococcus + faecalibacterium,0,
staphylococcus + pseudomonas,0,
staphylococcus + klebsiella,0,
staphylococcus + faecalibacterium,0,
pseudomonas + klebsiella,0,
pseudomonas + faecalibacterium,0,
klebsiella + faecalibacterium,0,
