combination,microbes,glucose_mM,ratio,integrated_lps_mM_h,peak_lps_mM,harvest_time_h,toxicity_max_mM
salmonella + clostridium,salmonella + clostridium,100,1:20,217.31511545905158,122.01845845022176,0.2,0.0
staphylococcus + bordetella,staphylococcus + bordetella,100,1:20,217.31511545905158,122.01845845022176,0.2,0.0
clostridium + legionella,clostridium + legionella,100,1:20,217.31511545905158,122.01845845022176,0.2,0.0
clostridium + helicobacter,clostridium + helicobacter,100,1:20,217.31511545905158,122.01845845022176,0.2,0.0
clostridium + vibrio,clostridium + vibrio,100,1:20,217.31511545905158,122.01845845022176,0.2,0.0
salmonella + clostridium,salmonella + clostridium,100,1:5,158.0448796681267,99.23741955381495,0.8,0.0
staphylococcus + bordetella,staphylococcus + bordetella,100,1:5,158.0448796681267,99.23741955381495,0.8,0.0
clostridium + legionella,clostridium + legionella,100,1:5,158.0448796681267,99.23741955381495,0.8,0.0
clostridium + helicobacter,clostridium + helicobacter,100,1:5,158.0448796681267,99.23741955381495,0.8,0.0
clostridium + vibrio,clostridium + vibrio,100,1:5,158.0448796681267,99.23741955381495,0.8,0.0
salmonella + clostridium,salmonella + clostridium,50,1:20,145.31269978773622,80.49472543352603,0.1,0.0
staphylococcus + bordetella,staphylococcus + bordetella,50,1:20,145.31269978773622,80.49472543352603,0.1,0.0
clostridium + legionella,clostridium + legionella,50,1:20,145.31269978773622,80.49472543352603,0.1,0.0
clostridium + helicobacter,clostridium + helicobacter,50,1:20,145.31269978773622,80.49472543352603,0.1,0.0
clostridium + vibrio,clostridium + vibrio,50,1:20,145.31269978773622,80.49472543352603,0.1,0.0
salmonella + clostridium,salmonella + clostridium,100,1:1,81.12753253736355,74.49465751058017,1.9000000000000001,0.0
staphylococcus + bordetella,staphylococcus + bordetella,100,1:1,81.12753253736355,74.49465751058017,1.9000000000000001,0.0
clostridium + legionella,clostridium + legionella,100,1:1,81.12753253736355,74.49465751058017,1.9000000000000001,0.0
