microA,microB,glucose_mM,ratio_microA,max_lps_mM,t_max_h,t_95_h,json_file
clostridium,helicobacter,100.0,0.1,68.28854032570237,3.8000000000000003,3.5,clostridium_helicobacter_glc100_ratio0.1.json
clostridium,helicobacter,100.0,0.2,70.2686253250508,3.5,3.3000000000000003,clostridium_helicobacter_glc100_ratio0.2.json
clostridium,helicobacter,100.0,0.5,75.1310230262528,2.9000000000000004,2.7,clostridium_helicobacter_glc100_ratio0.5.json
clostridium,helicobacter,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_helicobacter_glc100_ratio1.0.json
clostridium,helicobacter,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_helicobacter_glc100_ratio10.0.json
clostridium,helicobacter,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_helicobacter_glc100_ratio2.0.json
clostridium,helicobacter,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_helicobacter_glc100_ratio5.0.json
clostridium,helicobacter,10.0,0.1,9.690415466563604,0.4,0.4,clostridium_helicobacter_glc10_ratio0.1.json
clostridium,helicobacter,10.0,0.2,10.267247493348842,0.4,0.4,clostridium_helicobacter_glc10_ratio0.2.json
clostridium,helicobacter,10.0,0.5,10.5224038420802,0.30000000000000004,0.30000000000000004,clostridium_helicobacter_glc10_ratio0.5.json
clostridium,helicobacter,10.0,1.0,10.787431149725753,0.2,0.2,clostridium_helicobacter_glc10_ratio1.0.json
clostridium,helicobacter,10.0,10.0,20.94230769230769,0.0,0.0,clostridium_helicobacter_glc10_ratio10.0.json
clostridium,helicobacter,10.0,2.0,11.076602456638081,0.1,0.1,clostridium_helicobacter_glc10_ratio2.0.json
clostridium,helicobacter,10.0,5.0,11.423076923076923,0.0,0.0,clostridium_helicobacter_glc10_ratio5.0.json
clostridium,helicobacter,20.0,0.1,18.789834405610566,0.9,0.9,clostridium_helicobacter_glc20_ratio0.1.json
clostridium,helicobacter,20.0,0.2,18.996962731184137,0.8,0.8,clostridium_helicobacter_glc20_ratio0.2.json
clostridium,helicobacter,20.0,0.5,19.03935929662869,0.6000000000000001,0.6000000000000001,clostridium_helicobacter_glc20_ratio0.5.json
clostridium,helicobacter,20.0,1.0,20.47711317354885,0.5,0.5,clostridium_helicobacter_glc20_ratio1.0.json
clostridium,helicobacter,20.0,10.0,21.35294117647059,0.0,0.0,clostridium_helicobacter_glc20_ratio10.0.json
clostridium,helicobacter,20.0,2.0,21.98015780210807,0.30000000000000004,0.30000000000000004,clostridium_helicobacter_glc20_ratio2.0.json
clostridium,helicobacter,20.0,5.0,22.854989885913103,0.1,0.1,clostridium_helicobacter_glc20_ratio5.0.json
clostridium,helicobacter,50.0,0.1,40.740129395634305,2.1,2.0,clostridium_helicobacter_glc50_ratio0.1.json
clostridium,helicobacter,50.0,0.2,41.54173397675091,1.9000000000000001,1.8,clostridium_helicobacter_glc50_ratio0.2.json
clostridium,helicobacter,50.0,0.5,42.76667427203415,1.5,1.4000000000000001,clostridium_helicobacter_glc50_ratio0.5.json
clostridium,helicobacter,50.0,1.0,45.53115367391459,1.2000000000000002,1.1,clostridium_helicobacter_glc50_ratio1.0.json
clostridium,helicobacter,50.0,10.0,62.882784482235216,0.2,0.2,clostridium_helicobacter_glc50_ratio10.0.json
clostridium,helicobacter,50.0,2.0,48.94326744415795,0.8,0.8,clostridium_helicobacter_glc50_ratio2.0.json
clostridium,helicobacter,50.0,5.0,55.47670064946407,0.4,0.4,clostridium_helicobacter_glc50_ratio5.0.json
clostridium,legionella,100.0,0.1,68.28854032570237,3.8000000000000003,3.5,clostridium_legionella_glc100_ratio0.1.json
clostridium,legionella,100.0,0.2,70.2686253250508,3.5,3.3000000000000003,clostridium_legionella_glc100_ratio0.2.json
clostridium,legionella,100.0,0.5,75.1310230262528,2.9000000000000004,2.7,clostridium_legionella_glc100_ratio0.5.json
clostridium,legionella,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_legionella_glc100_ratio1.0.json
clostridium,legionella,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_legionella_glc100_ratio10.0.json
clostridium,legionella,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_legionella_glc100_ratio2.0.json
clostridium,legionella,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_legionella_glc100_ratio5.0.json
clostridium,legionella,10.0,0.1,9.690415466563604,0.4,0.4,clostridium_legionella_glc10_ratio0.1.json
clostridium,legionella,10.0,0.2,10.267247493348842,0.4,0.4,clostridium_legionella_glc10_ratio0.2.json
clostridium,legionella,10.0,0.5,10.5224038420802,0.30000000000000004,0.30000000000000004,clostridium_legionella_glc10_ratio0.5.json
clostridium,legionella,10.0,1.0,10.787431149725753,0.2,0.2,clostridium_legionella_glc10_ratio1.0.json
clostridium,legionella,10.0,10.0,20.94230769230769,0.0,0.0,clostridium_legionella_glc10_ratio10.0.json
clostridium,legionella,10.0,2.0,11.076602456638081,0.1,0.1,clostridium_legionella_glc10_ratio2.0.json
clostridium,legionella,10.0,5.0,11.423076923076923,0.0,0.0,clostridium_legionella_glc10_ratio5.0.json
clostridium,legionella,20.0,0.1,18.789834405610566,0.9,0.9,clostridium_legionella_glc20_ratio0.1.json
clostridium,legionella,20.0,0.2,18.996962731184137,0.8,0.8,clostridium_legionella_glc20_ratio0.2.json
clostridium,legionella,20.0,0.5,19.03935929662869,0.6000000000000001,0.6000000000000001,clostridium_legionella_glc20_ratio0.5.json
clostridium,legionella,20.0,1.0,20.47711317354885,0.5,0.5,clostridium_legionella_glc20_ratio1.0.json
clostridium,legionella,20.0,10.0,21.35294117647059,0.0,0.0,clostridium_legionella_glc20_ratio10.0.json
clostridium,legionella,20.0,2.0,21.98015780210807,0.30000000000000004,0.30000000000000004,clostridium_legionella_glc20_ratio2.0.json
clostridium,legionella,20.0,5.0,22.854989885913103,0.1,0.1,clostridium_legionella_glc20_ratio5.0.json
clostridium,legionella,50.0,0.1,40.740129395634305,2.1,2.0,clostridium_legionella_glc50_ratio0.1.json
clostridium,legionella,50.0,0.2,41.54173397675091,1.9000000000000001,1.8,clostridium_legionella_glc50_ratio0.2.json
clostridium,legionella,50.0,0.5,42.76667427203415,1.5,1.4000000000000001,clostridium_legionella_glc50_ratio0.5.json
clostridium,legionella,50.0,1.0,45.53115367391459,1.2000000000000002,1.1,clostridium_legionella_glc50_ratio1.0.json
clostridium,legionella,50.0,10.0,62.882784482235216,0.2,0.2,clostridium_legionella_glc50_ratio10.0.json
clostridium,legionella,50.0,2.0,48.94326744415795,0.8,0.8,clostridium_legionella_glc50_ratio2.0.json
clostridium,legionella,50.0,5.0,55.47670064946407,0.4,0.4,clostridium_legionella_glc50_ratio5.0.json
clostridium,vibrio,100.0,0.1,68.28854032570237,3.8000000000000003,3.5,clostridium_vibrio_glc100_ratio0.1.json
clostridium,vibrio,100.0,0.2,70.2686253250508,3.5,3.3000000000000003,clostridium_vibrio_glc100_ratio0.2.json
clostridium,vibrio,100.0,0.5,75.1310230262528,2.9000000000000004,2.7,clostridium_vibrio_glc100_ratio0.5.json
clostridium,vibrio,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_vibrio_glc100_ratio1.0.json
clostridium,vibrio,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_vibrio_glc100_ratio10.0.json
clostridium,vibrio,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_vibrio_glc100_ratio2.0.json
clostridium,vibrio,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_vibrio_glc100_ratio5.0.json
clostridium,vibrio,10.0,0.1,9.690415466563604,0.4,0.4,clostridium_vibrio_glc10_ratio0.1.json
clostridium,vibrio,10.0,0.2,10.267247493348842,0.4,0.4,clostridium_vibrio_glc10_ratio0.2.json
clostridium,vibrio,10.0,0.5,10.5224038420802,0.30000000000000004,0.30000000000000004,clostridium_vibrio_glc10_ratio0.5.json
clostridium,vibrio,10.0,1.0,10.787431149725753,0.2,0.2,clostridium_vibrio_glc10_ratio1.0.json
clostridium,vibrio,10.0,10.0,20.94230769230769,0.0,0.0,clostridium_vibrio_glc10_ratio10.0.json
clostridium,vibrio,10.0,2.0,11.076602456638081,0.1,0.1,clostridium_vibrio_glc10_ratio2.0.json
clostridium,vibrio,10.0,5.0,11.423076923076923,0.0,0.0,clostridium_vibrio_glc10_ratio5.0.json
clostridium,vibrio,20.0,0.1,18.789834405610566,0.9,0.9,clostridium_vibrio_glc20_ratio0.1.json
clostridium,vibrio,20.0,0.2,18.996962731184137,0.8,0.8,clostridium_vibrio_glc20_ratio0.2.json
clostridium,vibrio,20.0,0.5,19.03935929662869,0.6000000000000001,0.6000000000000001,clostridium_vibrio_glc20_ratio0.5.json
clostridium,vibrio,20.0,1.0,20.47711317354885,0.5,0.5,clostridium_vibrio_glc20_ratio1.0.json
clostridium,vibrio,20.0,10.0,21.35294117647059,0.0,0.0,clostridium_vibrio_glc20_ratio10.0.json
clostridium,vibrio,20.0,2.0,21.98015780210807,0.30000000000000004,0.30000000000000004,clostridium_vibrio_glc20_ratio2.0.json
clostridium,vibrio,20.0,5.0,22.854989885913103,0.1,0.1,clostridium_vibrio_glc20_ratio5.0.json
clostridium,vibrio,50.0,0.1,40.740129395634305,2.1,2.0,clostridium_vibrio_glc50_ratio0.1.json
clostridium,vibrio,50.0,0.2,41.54173397675091,1.9000000000000001,1.8,clostridium_vibrio_glc50_ratio0.2.json
clostridium,vibrio,50.0,0.5,42.76667427203415,1.5,1.4000000000000001,clostridium_vibrio_glc50_ratio0.5.json
clostridium,vibrio,50.0,1.0,45.53115367391459,1.2000000000000002,1.1,clostridium_vibrio_glc50_ratio1.0.json
clostridium,vibrio,50.0,10.0,62.882784482235216,0.2,0.2,clostridium_vibrio_glc50_ratio10.0.json
clostridium,vibrio,50.0,2.0,48.94326744415795,0.8,0.8,clostridium_vibrio_glc50_ratio2.0.json
clostridium,vibrio,50.0,5.0,55.47670064946407,0.4,0.4,clostridium_vibrio_glc50_ratio5.0.json
salmonella,clostridium,100.0,0.1,68.28854032570237,3.8000000000000003,3.5,salmonella_clostridium_glc100_ratio0.1.json
salmonella,clostridium,100.0,0.2,70.2686253250508,3.5,3.3000000000000003,salmonella_clostridium_glc100_ratio0.2.json
salmonella,clostridium,100.0,0.5,75.1310230262528,2.9000000000000004,2.7,salmonella_clostridium_glc100_ratio0.5.json
salmonella,clostridium,100.0,1.0,80.15094349452573,2.2,2.1,salmonella_clostridium_glc100_ratio1.0.json
salmonella,clostridium,100.0,10.0,105.36209659770593,0.4,0.4,salmonella_clostridium_glc100_ratio10.0.json
