combination,microbes,glucose_mM,ratio,peak_lps_mM,peak_time_h,final_lps_mM,toxicity_max_mM,toxicity_penalty,overall_rank
salmonella + clostridium,salmonella + clostridium,100,1:20,122.01845845022176,0.2,1.0102139397338985,0.0,0.0,1.0
staphylococcus + bordetella,staphylococcus + bordetella,100,1:20,122.01845845022176,0.2,1.0102139397338985,0.0,0.0,1.0
clostridium + legionella,clostridium + legionella,100,1:20,122.01845845022176,0.2,1.0102139397338985,0.0,0.0,1.0
clostridium + helicobacter,clostridium + helicobacter,100,1:20,122.01845845022176,0.2,1.0102139397338985,0.0,0.0,1.0
clostridium + vibrio,clostridium + vibrio,100,1:20,122.01845845022176,0.2,1.0102139397338985,0.0,0.0,1.0
salmonella + clostridium,salmonella + clostridium,100,1:5,99.23741955381495,0.8,0.872674163419637,0.0,0.0,0.8132984207000084
staphylococcus + bordetella,staphylococcus + bordetella,100,1:5,99.23741955381495,0.8,0.872674163419637,0.0,0.0,0.8132984207000084
clostridium + legionella,clostridium + legionella,100,1:5,99.23741955381495,0.8,0.872674163419637,0.0,0.0,0.8132984207000084
clostridium + helicobacter,clostridium + helicobacter,100,1:5,99.23741955381495,0.8,0.872674163419637,0.0,0.0,0.8132984207000084
clostridium + vibrio,clostridium + vibrio,100,1:5,99.23741955381495,0.8,0.872674163419637,0.0,0.0,0.8132984207000084
salmonella + clostridium,salmonella + clostridium,50,1:20,80.49472543352603,0.1,0.6597667745799533,0.0,0.0,0.6596930206782148
staphylococcus + bordetella,staphylococcus + bordetella,50,1:20,80.49472543352603,0.1,0.6597667745799533,0.0,0.0,0.6596930206782148
clostridium + legionella,clostridium + legionella,50,1:20,80.49472543352603,0.1,0.6597667745799533,0.0,0.0,0.6596930206782148
clostridium + helicobacter,clostridium + helicobacter,50,1:20,80.49472543352603,0.1,0.6597667745799533,0.0,0.0,0.6596930206782148
clostridium + vibrio,clostridium + vibrio,50,1:20,80.49472543352603,0.1,0.6597667745799533,0.0,0.0,0.6596930206782148
salmonella + clostridium,salmonella + clostridium,100,1:1,80.15094349452573,2.2,0.8113207250262738,0.0,0.0,0.656875562210318
staphylococcus + bordetella,staphylococcus + bordetella,100,1:1,80.15094349452573,2.2,0.8113207250262738,0.0,0.0,0.656875562210318
clostridium + legionella,clostridium + legionella,100,1:1,80.15094349452573,2.2,0.8113207250262738,0.0,0.0,0.656875562210318
clostridium + helicobacter,clostridium + helicobacter,100,1:1,80.15094349452573,2.2,0.8113207250262738,0.0,0.0,0.656875562210318
clostridium + vibrio,clostridium + vibrio,100,1:1,80.15094349452573,2.2,0.8113207250262738,0.0,0.0,0.656875562210318
salmonella + clostridium,salmonella + clostridium,50,1:5,55.47670064946407,0.4,0.4686278108227723,0.0,0.0,0.4546582652664487
staphylococcus + bordetella,staphylococcus + bordetella,50,1:5,55.47670064946407,0.4,0.4686278108227723,0.0,0.0,0.4546582652664487
clostridium + legionella,clostridium + legionella,50,1:5,55.47670064946407,0.4,0.4686278108227723,0.0,0.0,0.4546582652664487
clostridium + helicobacter,clostridium + helicobacter,50,1:5,55.47670064946407,0.4,0.4686278108227723,0.0,0.0,0.4546582652664487
clostridium + vibrio,clostridium + vibrio,50,1:5,55.47670064946407,0.4,0.4686278108227723,0.0,0.0,0.4546582652664487
salmonella + clostridium,salmonella + clostridium,50,1:1,45.53115367391459,1.2000000000000002,0.4168161441217028,0.0,0.0,0.37314972056042917
staphylococcus + bordetella,staphylococcus + bordetella,50,1:1,45.53115367391459,1.2000000000000002,0.4168161441217028,0.0,0.0,0.37314972056042917
