microA,microB,glucose_mM,ratio_microA,max_lps_mM,t_max_h,t_95_h,json_file
staphylococcus,bordetella,100.0,10.0,105.36209659770593,0.4,0.4,staphylococcus_bordetella_glc100_ratio10.0.json
clostridium,legionella,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_legionella_glc100_ratio10.0.json
salmonella,clostridium,100.0,10.0,105.36209659770593,0.4,0.4,salmonella_clostridium_glc100_ratio10.0.json
clostridium,helicobacter,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_helicobacter_glc100_ratio10.0.json
clostridium,vibrio,100.0,10.0,105.36209659770593,0.4,0.4,clostridium_vibrio_glc100_ratio10.0.json
clostridium,helicobacter,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_helicobacter_glc100_ratio5.0.json
staphylococcus,bordetella,100.0,5.0,99.23741955381495,0.8,0.8,staphylococcus_bordetella_glc100_ratio5.0.json
clostridium,legionella,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_legionella_glc100_ratio5.0.json
clostridium,vibrio,100.0,5.0,99.23741955381495,0.8,0.8,clostridium_vibrio_glc100_ratio5.0.json
salmonella,clostridium,100.0,5.0,99.23741955381495,0.8,0.8,salmonella_clostridium_glc100_ratio5.0.json
clostridium,helicobacter,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_helicobacter_glc100_ratio2.0.json
clostridium,legionella,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_legionella_glc100_ratio2.0.json
staphylococcus,bordetella,100.0,2.0,86.71138712216361,1.5,1.5,staphylococcus_bordetella_glc100_ratio2.0.json
salmonella,clostridium,100.0,2.0,86.71138712216361,1.5,1.5,salmonella_clostridium_glc100_ratio2.0.json
clostridium,vibrio,100.0,2.0,86.71138712216361,1.5,1.5,clostridium_vibrio_glc100_ratio2.0.json
clostridium,vibrio,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_vibrio_glc100_ratio1.0.json
salmonella,clostridium,100.0,1.0,80.15094349452573,2.2,2.1,salmonella_clostridium_glc100_ratio1.0.json
clostridium,legionella,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_legionella_glc100_ratio1.0.json
staphylococcus,bordetella,100.0,1.0,80.15094349452573,2.2,2.1,staphylococcus_bordetella_glc100_ratio1.0.json
clostridium,helicobacter,100.0,1.0,80.15094349452573,2.2,2.1,clostridium_helicobacter_glc100_ratio1.0.json
